customer_id,fc_segment,recommendation_1,most_frequent_item
4C005C05A448C7449B0A180313615250,Potenciales,30941,3559
66568DC0E91B3750AF0A180313615250,Potenciales,25174,1241
657BE84E5964DFE1440A180313615250,Potenciales,18566,28293
6559FF333F210F6D900A180313615250,Potenciales,30604,391
36CD104F6A6A8322957F000001615250,Potenciales,17919,24
6BFCF28A3E6D591CC40A180313615250,Potenciales,31733,109
6E41969BE063862F030A180313615250,Potenciales,17432,33157
6191DC49C1447AEEB70A180313615250,Potenciales,17919,20384
6D053C910836AA278E0A180313615250,Potenciales,34347,1737
5F0328F3D3358208440A180313615250,Potenciales,5727,4113
323950134F5038C31D7F000001615250,Potenciales,17495,6869
4A7DE77304343123347F000001615250,Potenciales,17919,23768
458EE18A150E0FF0AF7F000001615250,Potenciales,4173,7520
4B842A6757306056ED7F000001615250,Potenciales,3213,97498
323B7CDB1F3785E9BC7F000001615250,Potenciales,17432,20497
49318953160F70BCE47F000001615250,Potenciales,31733,6869
540C2414F60C87D11D0A180313615250,Potenciales,30941,28015
57A30212C5552B23090A180313615250,Potenciales,18470,5728
6C46069E49083004590A180313615250,Potenciales,28363,10
62AC36D9FA32E482B50A180313615250,Potenciales,6585,94743
323C1BB29F4A81C23E7F000001615250,Potenciales,26257,64
616DD78FB405DB1B650A180313615250,Potenciales,6585,4345
323C4989E25975B3167F000001615250,Potenciales,5727,25
6246C9E76C526E6F0B0A180313615250,Potenciales,3968,23855
475ABA52CF3A44A7817F000001615250,Potenciales,25174,96954
3A8B13DE707038B5787F000001615250,Potenciales,30604,2
378F2B32810B9AE5177F000001615250,Potenciales,1360,4369
4EF56B64A24BC3669D0A180313615250,Potenciales,34347,3213
378F7268327FBA7FF77F000001615250,Potenciales,30604,30062
3422FB567F2374D3D77F000001615250,Potenciales,19206,20488
323891A8397FC915E77F000001615250,Potenciales,28363,7336
4F62BA17446AB4CDFF0A180313615250,Potenciales,18566,28867
4E720C6FED17C87C480A180313615250,Potenciales,25174,32830
6D271478127ADCD9460A180313615250,Potenciales,4180,7820
616D63636E331CBA880A180313615250,Potenciales,30941,6552
4B4E701C73768729F47F000001615250,Potenciales,3968,22365
32385183202A90F5B47F000001615250,Potenciales,30604,23784
5F8764B1C31426B65C0A180313615250,Potenciales,34113,6825
378FDF6B94006424267F000001615250,Potenciales,25174,26634
3B7135D2290744442B7F000001615250,Potenciales,17432,10
419879362B2E1723727F000001615250,Potenciales,31733,5433
4D2D745D9F6B652BE40A180313615250,Potenciales,19206,22806
3D68D30ECB0F98EDAB7F000001615250,Potenciales,4173,23703
40A0D591D95AD1779E7F000001615250,Potenciales,34114,96895
5F333C92C61098CC840A180313615250,Potenciales,6585,10
5CF3FA907D75080FD40A180313615250,Potenciales,26257,2
6E43F81D575BDF83820A180313615250,Potenciales,1360,27308
6302AFB27067AFED490A180313615250,Potenciales,28363,3268
6E1FBD12555A36D6C70A180313615250,Potenciales,307,20523
36417E7ACE2C74AB7C7F000001615250,Potenciales,34218,97517
61D85B86324571169E0A180313615250,Potenciales,3968,33903
323C1824FC62878AF67F000001615250,Potenciales,30604,28972
63038AAAF87608AD620A180313615250,Potenciales,3213,20425
